pl_name,hostname,pl_orbper,pl_rade,pl_bmasse
Kepler-1261 b,Kepler-1261,48.4308991,2.26,5.73
HD 160691 e,HD 160691,307.9,,2224.79885
Kepler-107 b,Kepler-107,3.1800218,1.536,3.8
Kepler-1066 b,Kepler-1066,1.93155984,2.36,6.17
Kepler-1600 c,Kepler-1600,7.29804993,1.942,4.43
Kepler-1616 b,Kepler-1616,6.76284377,1.02,1.04
Kepler-1618 b,Kepler-1618,6.10826019,1.26,2.13
Kepler-1869 c,Kepler-1869,1.7168283,0.74,0.33
Kepler-1928 b,Kepler-1928,19.57783,1.992,4.63
Kepler-180 b,Kepler-180,13.817124,1.5,2.86
Kepler-196 b,Kepler-196,20.739886,1.9,4.27
Kepler-194 d,Kepler-194,52.814973,2.4,6.35
Kepler-320 b,Kepler-320,8.371554,1.14,1.55
Kepler-1265 b,Kepler-1265,6.49441289,1.35,2.39
Kepler-661 b,Kepler-661,6.02930132,3.07,9.64
Kepler-256 d,Kepler-256,5.839172,2.48,6.71
Kepler-268 c,Kepler-268,83.446393,3.38,11.4
Kepler-269 c,Kepler-269,8.127899,1.69,3.5
Kepler-467 b,Kepler-467,24.99324193,2.25,5.69
Kepler-474 b,Kepler-474,5.66067294,3.06,9.59
Kepler-169 b,Kepler-169,3.250619,1.13,1.51
Kepler-1282 b,Kepler-1282,2.13194651,1.55,3.02
Kepler-217 b,Kepler-217,5.374943,2.23,5.6
Kepler-216 c,Kepler-216,17.406669,3.04,9.48
Kepler-259 c,Kepler-259,36.924931,2.7,7.75
Kepler-264 b,Kepler-264,40.806231,3.33,11.1
Kepler-265 b,Kepler-265,6.846262,1.86,4.12
Kepler-662 b,Kepler-662,21.67697486,2.18,5.39
TOI-1820 b,TOI-1820,4.860674,12.778,731.00534
Kepler-1173 b,Kepler-1173,0.7698536,0.89,0.64
Kepler-1228 b,Kepler-1228,0.57736958,1.54,2.99
Kepler-1276 b,Kepler-1276,12.5720095,1.19,1.81
Kepler-1278 b,Kepler-1278,3.23941344,1.01,1.01
Kepler-1280 b,Kepler-1280,66.5579057,1.87,4.16
Kepler-481 b,Kepler-481,10.06082567,2.5,6.8
Kepler-487 c,Kepler-487,38.6519976,2.68,7.65
Kepler-1292 b,Kepler-1292,3.27646405,1.82,3.97
Kepler-134 b,Kepler-134,5.317429,2.0,4.66
Kepler-1316 b,Kepler-1316,87.9732136,3.54,12.3
Kepler-132 e,Kepler-132,110.2869374,1.18,1.76
Kepler-659 b,Kepler-659,17.671796,2.5,6.8
Kepler-341 e,Kepler-341,42.473269,1.99,4.62
Kepler-707 b,Kepler-707,2.23749275,1.33,2.33
Kepler-286 b,Kepler-286,1.796302,1.24,2.07
Kepler-277 b,Kepler-277,17.324,2.92,87.3
Kepler-28 b,Kepler-28,5.91,1.959,1.63
Kepler-286 d,Kepler-286,5.914323,1.33,2.33
Kepler-288 b,Kepler-288,6.097326,1.67,3.43
Kepler-721 b,Kepler-721,5.39202539,2.64,7.46
Kepler-160 c,Kepler-160,13.699429,3.76,13.6
Kepler-160 d,Kepler-160,30.0,,100.0
Kepler-354 d,Kepler-354,24.209842,1.24,2.07
Kepler-85 b,Kepler-85,8.3,1.778,1.84
Kepler-158 c,Kepler-158,28.551383,1.9,4.27
Kepler-1622 b,Kepler-1622,10.8118737,1.47,2.76
Kepler-1835 b,Kepler-1835,11.96409988,3.534,12.2
Kepler-1851 b,Kepler-1851,12.02289963,3.9,14.5
Kepler-1852 b,Kepler-1852,7.97094011,1.886,4.22
Kepler-186 e,Kepler-186,22.407704,1.27,2.15
Kepler-728 b,Kepler-728,5.74347727,3.34,11.1
Kepler-729 b,Kepler-729,3.16635371,3.58,12.5
Kepler-730 b,Kepler-730,6.49168281,12.33,
Kepler-730 c,Kepler-730,2.85188338,1.569,3.09
Kepler-731 b,Kepler-731,3.85560355,13.88,
Kepler-358 b,Kepler-358,34.060467,2.72,7.85
Kepler-665 b,Kepler-665,16.01310205,2.6,7.27
Kepler-666 b,Kepler-666,4.49876092,2.4,6.35
Kepler-668 b,Kepler-668,8.35390639,2.7,7.75
Kepler-116 c,Kepler-116,13.07163,2.3,5.9
Kepler-524 b,Kepler-524,7.97419807,1.91,4.31
Kepler-524 c,Kepler-524,1.88897906,0.96,0.84
Kepler-121 b,Kepler-121,3.177422,2.34,6.08
Kepler-1255 b,Kepler-1255,36.2919336,2.32,5.99
Kepler-1318 b,Kepler-1318,213.257663,3.11,9.85
Kepler-1342 b,Kepler-1342,2.21571036,1.66,3.39
Kepler-759 b,Kepler-759,41.805985,2.27,5.77
Kepler-1358 b,Kepler-1358,7.06317341,1.12,1.46
Kepler-117 b,Kepler-117,18.7959228,8.059,29.875
Kepler-1109 b,Kepler-1109,37.6467384,2.19,5.43
Kepler-361 c,Kepler-361,55.188023,2.52,6.9
Kepler-363 b,Kepler-363,3.614568,1.16,1.65
Kepler-139 c,Kepler-139,157.072878,3.38,23.2558
Kepler-32 c,Kepler-32,8.7522,2.0,158.9
Kepler-430 c,Kepler-430,110.979,1.75,3.71
HAT-P-42 b,HAT-P-42,4.641878,14.348,331.801
K2-381 d,K2-381,26.803023,1.689,3.5
TOI-2420 b,TOI-2420,5.842641,15.02,294.62693
Kepler-1519 b,Kepler-1519,240.7989397,7.06,39.6
Kepler-11 e,Kepler-11,31.9996,4.19,8.0
Kepler-1575 b,Kepler-1575,2.55314213,1.31,2.27
KMT-2021-BLG-1770L b,KMT-2021-BLG-1770L,,12.1,6674.39655
Kepler-732 c,Kepler-732,0.89304124,1.27,2.15
Kepler-331 b,Kepler-331,8.457496,1.82,3.97
HD 120084 b,HD 120084,2142.0,12.7,2034.1018
GJ 463 b,GJ 463,3448.0,13.0,1144.18227
TOI-206 b,TOI-206,0.7363104,1.3,2.24
HD 100546 b,HD 100546,,77.342,2701.54146
HD 190984 b,HD 190984,4885.0,13.0,1137.8257
HD 204313 b,HD 204313,2041.11539,12.9,1466.7781
K2-353 b,K2-353,15.466805,5.55,26.3
WASP-181 b,WASP-181,4.5195064,13.271,95.03117
HD 108236 e,HD 108236,19.590025,3.083,9.71
Kepler-938 b,Kepler-938,52.6298417,2.22,5.56
Kepler-1179 b,Kepler-1179,2.68505749,1.32,2.3
HAT-P-45 b,HAT-P-45,3.128992,15.984,283.492
CoRoT-11 b,CoRoT-11,2.99433,16.03,740.51
TOI-125 b,TOI-125,4.65382,2.726,9.5
Kepler-669 b,Kepler-669,4.12554687,4.83,20.8
Kepler-673 b,Kepler-673,3.72873109,6.54,34.8
Kepler-676 b,Kepler-676,11.59822172,3.04,9.48
Kepler-1202 b,Kepler-1202,28.6851324,2.94,8.96
Kepler-1220 b,Kepler-1220,7.42693741,1.52,2.92
Kepler-1626 b,Kepler-1626,4.13962966,2.02,4.74
Kepler-1620 b,Kepler-1620,101.951829,1.61,3.22
Kepler-144 c,Kepler-144,10.104665,1.35,2.39
Kepler-255 d,Kepler-255,1.04562266,1.32,2.3
Kepler-26 d,Kepler-26,3.543919,1.07,1.24
Kepler-340 c,Kepler-340,22.824669,3.37,11.3
Kepler-369 b,Kepler-369,2.732756,1.13,1.51
Kepler-1685 b,Kepler-1685,20.4905,2.577,7.16
Kepler-530 b,Kepler-530,39.30941904,3.01,9.32
Kepler-533 b,Kepler-533,28.51120525,3.38,11.4
Kepler-542 b,Kepler-542,13.14497566,1.57,3.09
Kepler-607 b,Kepler-607,0.6381632,0.87,0.59
Kepler-619 b,Kepler-619,5.4042722,3.16,10.1
Kepler-1727 b,Kepler-1727,9.02929974,3.173,10.2
Kepler-1730 b,Kepler-1730,13.81019974,4.485,18.4
Kepler-949 b,Kepler-949,8.6893073,2.91,8.8
Kepler-956 b,Kepler-956,5.24867263,3.0,9.27
Kepler-1240 b,Kepler-1240,4.8663815,1.15,1.6
Kepler-427 b,Kepler-427,10.290994,13.79,92.17
Kepler-1371 c,Kepler-1371,2.00541269,0.64,0.196
Kepler-1820 b,Kepler-1820,31.03249931,3.119,9.9
Kepler-1080 b,Kepler-1080,77.2548396,3.28,10.8
Kepler-1084 b,Kepler-1084,2.05333679,1.11,1.41
Kepler-220 d,Kepler-220,28.122397,0.98,0.904
KOI-1257 b,KOI-1257,86.647661,10.54,460.83
Kepler-1009 b,Kepler-1009,11.35011917,2.17,5.35
Kepler-723 b,Kepler-723,4.08227507,12.19,
Kepler-739 b,Kepler-739,12.53248465,3.32,11.0
Kepler-589 c,Kepler-589,3.52466011,1.117,1.45
